Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
1-7NGY12,Voluntary starvation (>24 hrs),Major,22/06/11 14:00,,Northern IDC,Service Provider Staff
1-7NGXY3,Voluntary starvation (>24 hrs),Major,22/06/11 14:00,,Northern IDC,Service Provider Staff
1-7NECBM,Damage - Minor,Minor,22/06/11 14:20,,Curtin IDC,Service Provider Staff
1-7NEBZE,Contraband found,Minor,22/06/11 15:15,,Villawood IDC,Service Provider Staff
1-7NPMQN,Disturbance - Minor,Minor,22/06/11 15:20,,Curtin IDC,Service Provider Staff
1-7NIIC6,Self Harm - Threatened,Major,22/06/11 15:45,,North West Point Immigration Facility,Service Provider Staff
1-7NIPAU,Voluntary starvation (>24 hrs),Major,22/06/11 16:50,,North West Point Immigration Facility,Service Provider Staff
1-7NIIQA,Voluntary starvation (>24 hrs),Major,22/06/11 16:50,,North West Point Immigration Facility,Service Provider Staff
1-7NIWU7,Self Harm-Attpted Serious,Critical,22/06/11 17:00,,North West Point Immigration Facility,Service Provider Staff
1-7NIOZX,Self Harm - Threatened,Major,22/06/11 17:00,,Darwin Airport Lodge,DIAC Staff
1-7NHR3A,Voluntary  Starvation - End of,Minor,22/06/11 17:05,,Villawood IDC,Service Provider Staff
1-7NIPC7,Voluntary starvation (>24 hrs),Major,22/06/11 17:25,,North West Point Immigration Facility,Service Provider Staff
1-7NHRCI,Self Harm - Threatened,Major,22/06/11 17:40,,Northern IDC,DIAC Staff
1-7NIWS6,Damage - Serious,Critical,22/06/11 17:50,,Curtin IDC,Service Provider Staff
1-7NIPLK,Media - Incident  of interest,Major,22/06/11 18:00,,Construction Camp APOD,Service Provider Staff
1-7NIP2E,Disturbance - Minor,Minor,22/06/11 18:20,,Northern IDC,Service Provider Staff
1-7NR2NE,Voluntary starvation (<24 hrs),Minor,22/06/11 19:00,,Brisbane ITA,Service Provider Staff
1-7NIP0R,Self Harm - Threatened,Major,22/06/11 19:00,,Villawood IDC,DIAC Staff
1-7NJ9AO,Abusive/Aggressive Behaviour,Minor,22/06/11 19:00,,Darwin Airport Lodge,Service Provider Staff
1-7NIX6N,Accident/Injury - Serious,Critical,22/06/11 19:15,,Curtin IDC,Service Provider Staff
1-7NIWR8,Self Harm - Threatened,Major,22/06/11 20:00,,Villawood IDC,Service Provider Staff
1-7NJ9DL,Self Harm - Threatened,Major,22/06/11 20:00,,Darwin Airport Lodge,Service Provider Staff
1-7NJ9FK,Self Harm - Actual,Critical,22/06/11 20:15,,Darwin Airport Lodge,Service Provider Staff
1-7NIXGC,Abusive/Aggressive Behaviour,Minor,22/06/11 20:45,,Villawood IDC,Service Provider Staff
1-7NJEPQ,Voluntary  Starvation - End of,Minor,22/06/11 21:00,,Northern IDC,Service Provider Staff
1-7NJF7T,Voluntary starvation (<24 hrs),Minor,22/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7NPMCA,Voluntary starvation (<24 hrs),Minor,22/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7NJ9PZ,Voluntary starvation (>24 hrs),Major,22/06/11 22:02,,Curtin IDC,Service Provider Staff
1-7NJQAE,Voluntary starvation (>24 hrs),Major,22/06/11 22:30,,North West Point Immigration Facility,Service Provider Staff
1-7NJQQI,Contraband found,Minor,22/06/11 23:50,,North West Point Immigration Facility,Service Provider Staff
1-7NJQHE,Accident/Injury - Serious,Critical,23/06/11 0:05,,Curtin IDC,Service Provider Staff
1-7NJQST,Voluntary  Starvation - End of,Minor,23/06/11 1:15,,Curtin IDC,Service Provider Staff
1-7NR6YV,Failure - Power,Minor,23/06/11 6:05,,North West Point Immigration Facility,Service Provider Staff
1-7NR232,Failure - Security System,Major,23/06/11 7:20,,Villawood IDC,Service Provider Staff
1-7NRX9M,Failure - Security System,Major,23/06/11 9:30,,Melbourne ITA,Service Provider Staff
1-7NU220,Contraband found,Minor,23/06/11 11:05,,Villawood IDC,Service Provider Staff
1-7NT3V6,Failure - Security System,Major,23/06/11 11:30,,Villawood IDC,Service Provider Staff
1-7NWWSC,Self Harm - Threatened,Major,23/06/11 11:40,,Northern IDC,Service Provider Staff
1-7NU203,Escape,Critical,23/06/11 11:40,,Melbourne ITA,Service Provider Staff
1-7NWWWD,Use of Force,Major,23/06/11 12:00,,Northern IDC,Service Provider Staff
1-7NVZ2Q,Assault - Minor,Major,23/06/11 12:15,,Leonora APOD,Service Provider Staff
1-7NTXTI,Media - Incident  of interest,Major,23/06/11 12:40,,Maribyrnong IDC,Service Provider Staff
1-7O005B,Voluntary starvation (<24 hrs),Minor,23/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7NZZWV,Voluntary starvation (<24 hrs),Minor,23/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7NYP9V,Voluntary starvation (<24 hrs),Minor,23/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7NWWP8,Transfer to APOD,Minor,23/06/11 14:40,,Northern IDC,Service Provider Staff
1-7NVZCG,Transfer to APOD,Minor,23/06/11 14:45,,Northern IDC,Service Provider Staff
1-7NZZPC,Self Harm - Actual,Critical,23/06/11 15:55,,Curtin IDC,Service Provider Staff
1-7NYPA3,Assault - Not OBH,Minor,23/06/11 16:05,,Northern IDC,Service Provider Staff
1-7NZZUE,Use of Force,Major,23/06/11 16:20,,Curtin IDC,Service Provider Staff
1-7NZYI5,Transfer btwn facilities,Minor,23/06/11 16:30,,Port Augusta IRH,Service Provider Staff
1-7O00AT,Contraband found,Minor,23/06/11 16:59,,North West Point Immigration Facility,Service Provider Staff
1-7OFW0Z,Complaint Unresolved in time,Minor,23/06/11 17:00,,Villawood IDC,Service Provider Staff
1-7O0C2W,Self Harm - Actual,Critical,23/06/11 17:05,,North West Point Immigration Facility,Service Provider Staff
1-7NZZV5,Self Harm-Attpted Serious,Critical,23/06/11 17:10,,Northern IDC,Service Provider Staff
1-7NZ8T2,Transfer btwn facilities,Minor,23/06/11 17:30,,Villawood IDC,Service Provider Staff
1-7O15WD,Disturbance - Minor,Minor,23/06/11 17:30,,Darwin Airport Lodge,Service Provider Staff
1-7O0AHE,Use of Force,Major,23/06/11 17:35,,Curtin IDC,Service Provider Staff
1-7NZZOU,Disturbance - Minor,Minor,23/06/11 17:45,,Villawood IDC,Service Provider Staff
1-7O9TSR,Voluntary starvation (>24 hrs),Major,23/06/11 17:50,,North West Point Immigration Facility,Service Provider Staff
1-7O0CG7,Self Harm - Actual,Critical,23/06/11 17:50,,North West Point Immigration Facility,Service Provider Staff
1-7O0CNS,Self Harm - Threatened,Major,23/06/11 18:05,,North West Point Immigration Facility,Service Provider Staff
1-7NZYW2,Use of Force,Major,23/06/11 18:35,,Melbourne ITA,Service Provider Staff
1-7NZYPL,Self Harm - Actual,Critical,23/06/11 18:35,,Melbourne ITA,Service Provider Staff
1-7NZYT6,Voluntary starvation (<24 hrs),Minor,23/06/11 19:30,,Villawood IDC,Service Provider Staff
1-7OJUWG,Abusive/Aggressive Behaviour,Minor,23/06/11 19:30,,Leonora APOD,Service Provider Staff
1-7O0C2E,Self Harm - Threatened,Major,23/06/11 19:45,,Villawood IDC,External Source
1-7OD3LJ,Abusive/Aggressive Behaviour,Minor,23/06/11 21:15,,Leonora APOD,Service Provider Staff
1-7O7L12,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O7KZK,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O7KX8,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O7KWE,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O7KVF,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O7KU7,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O162V,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O161E,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O160G,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15ZQ,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15Z1,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15WZ,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15W0,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15V1,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15TK,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15SG,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15QX,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O15PC,Voluntary starvation (<24 hrs),Minor,23/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7O0MGQ,Use of Observation Rm > 24 hrs,Major,23/06/11 22:30,,Villawood IDC,Service Provider Staff
1-7O15UB,Disturbance - Minor,Minor,23/06/11 23:00,,Darwin Airport Lodge,Service Provider Staff
1-7O7KZQ,Self Harm - Actual,Critical,23/06/11 23:30,,North West Point Immigration Facility,Service Provider Staff
1-7O7L4C,Self Harm - Actual,Critical,23/06/11 23:35,,North West Point Immigration Facility,Service Provider Staff
1-7O7L9I,Self Harm - Actual,Critical,23/06/11 23:40,,North West Point Immigration Facility,Service Provider Staff
1-7O7L8X,Self Harm - Actual,Critical,23/06/11 23:40,,North West Point Immigration Facility,Service Provider Staff
1-7O7L5V,Self Harm - Actual,Critical,23/06/11 23:40,,North West Point Immigration Facility,Service Provider Staff
1-7O83A4,Disturbance - Minor,Minor,24/06/11 0:00,,North West Point Immigration Facility,Service Provider Staff
1-7O7LBB,Self Harm-Attpted Serious,Critical,24/06/11 0:20,,North West Point Immigration Facility,Service Provider Staff
1-7O7LH3,Self Harm - Actual,Critical,24/06/11 1:00,,North West Point Immigration Facility,Service Provider Staff
1-7O7LF0,Self Harm - Actual,Critical,24/06/11 1:00,,North West Point Immigration Facility,Service Provider Staff
1-7O7LIN,Self Harm - Actual,Critical,24/06/11 1:30,,North West Point Immigration Facility,Service Provider Staff
1-7O7LCM,Self Harm-Attpted Serious,Critical,24/06/11 1:40,,North West Point Immigration Facility,Service Provider Staff
1-7O0YBL,Voluntary starvation (>24 hrs),Major,24/06/11 2:13,,Curtin IDC,Service Provider Staff
1-7OBBES,Complaint - re Minor Incident,Minor,24/06/11 8:00,,Northern IDC,Service Provider Staff
1-7R1EYE,Assault - Minor,Major,24/06/11 8:10,,Inverbrackie APOD,Service Provider Staff
1-7O9T8Y,Abusive/Aggressive Behaviour,Minor,24/06/11 8:20,,Maribyrnong IDC,Service Provider Staff
1-7OFPMT,Property - Missing,Minor,24/06/11 9:30,,Melbourne ITA,Service Provider Staff
1-7OD3TS,Complaint Unresolved in time,Minor,24/06/11 10:14,,North West Point Immigration Facility,Service Provider Staff
1-7OEBXK,Complaint Unresolved in time,Minor,24/06/11 10:17,,North West Point Immigration Facility,Service Provider Staff
1-7OEBYW,Complaint Unresolved in time,Minor,24/06/11 10:20,,North West Point Immigration Facility,Service Provider Staff
1-7OEBZ4,Complaint Unresolved in time,Minor,24/06/11 10:24,,North West Point Immigration Facility,Service Provider Staff
1-7OEC0G,Complaint Unresolved in time,Minor,24/06/11 10:28,,North West Point Immigration Facility,Service Provider Staff
1-7OEC68,Complaint Unresolved in time,Minor,24/06/11 10:35,,North West Point Immigration Facility,Service Provider Staff
1-7OA8E2,Self Harm - Threatened,Major,24/06/11 10:40,,Northern IDC,Service Provider Staff
1-7OECDE,Complaint Unresolved in time,Minor,24/06/11 10:54,,North West Point Immigration Facility,Service Provider Staff
1-7OECJG,Complaint Unresolved in time,Minor,24/06/11 10:56,,North West Point Immigration Facility,Service Provider Staff
1-7OECJO,Complaint Unresolved in time,Minor,24/06/11 11:00,,North West Point Immigration Facility,Service Provider Staff
1-7OECLA,Complaint Unresolved in time,Minor,24/06/11 11:03,,North West Point Immigration Facility,Service Provider Staff
1-7OED8I,Self Harm - Threatened,Major,24/06/11 11:05,,North West Point Immigration Facility,Service Provider Staff
1-7OFPAU,Complaint Unresolved in time,Minor,24/06/11 11:08,,North West Point Immigration Facility,Service Provider Staff
1-7OFPDA,Complaint Unresolved in time,Minor,24/06/11 11:13,,North West Point Immigration Facility,Service Provider Staff
1-7OBBQU,Failure - Power,Minor,24/06/11 12:00,,Villawood IDC,Service Provider Staff
1-7OBBTI,Media - Incident  of interest,Major,24/06/11 12:15,,Villawood IDC,Service Provider Staff
1-7OJGUP,Media - Approach staff/clients,Minor,24/06/11 12:15,,Northern IDC,Service Provider Staff
1-7OH5KB,Use of Force,Major,24/06/11 12:20,,North West Point Immigration Facility,Service Provider Staff
1-7OH5CY,Self Harm - Actual,Critical,24/06/11 12:20,,North West Point Immigration Facility,Service Provider Staff
1-7OGWHI,Abusive/Aggressive Behaviour,Minor,24/06/11 12:40,,Villawood IDC,Service Provider Staff
1-7OGX0O,Voluntary starvation (<24 hrs),Minor,24/06/11 12:40,,Lilac Aqua,Service Provider Staff
1-7OIDIM,Self Harm - Threatened,Major,24/06/11 13:10,,North West Point Immigration Facility,Service Provider Staff
1-7OICZR,Voluntary starvation (>24 hrs),Major,24/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7RVK5A,Voluntary starvation (>24 hrs),Major,24/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7OIDA4,Voluntary starvation (>24 hrs),Major,24/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7OID4W,Voluntary starvation (>24 hrs),Major,24/06/11 13:15,,North West Point Immigration Facility,Service Provider Staff
1-7OFVFU,Complaint Unresolved in time,Minor,24/06/11 13:16,,Darwin Airport Lodge,Service Provider Staff
1-7OJGZ8,Media - Approach staff/clients,Minor,24/06/11 14:00,,Darwin Airport Lodge,Service Provider Staff
1-7OJGRI,Self Harm - Threatened,Major,24/06/11 14:30,,North West Point Immigration Facility,Service Provider Staff
1-7OJ6RG,Theft,Minor,24/06/11 14:30,,North West Point Immigration Facility,Service Provider Staff
1-7OJGCB,Use of Force,Major,24/06/11 15:05,,Northern IDC,Service Provider Staff
1-7OJUGR,Self Harm - Threatened,Major,24/06/11 15:15,,North West Point Immigration Facility,Service Provider Staff
1-7OJU8T,Self Harm - Threatened,Major,24/06/11 15:15,,North West Point Immigration Facility,Service Provider Staff
1-7OKHH9,Self Harm - Threatened,Major,24/06/11 15:20,,North West Point Immigration Facility,Service Provider Staff
1-7OJUVP,Self Harm - Threatened,Major,24/06/11 16:10,,North West Point Immigration Facility,Service Provider Staff
1-7OIDNS,Voluntary  Starvation - End of,Minor,24/06/11 16:35,,Villawood IDC,Service Provider Staff
1-7OJH0J,Self Harm - Threatened,Major,24/06/11 16:40,,Northern IDC,Service Provider Staff
1-7OL2AN,Birth of a child,Minor,24/06/11 17:45,,Port Augusta IRH,Service Provider Staff
1-7OL2QQ,Self Harm - Threatened,Major,24/06/11 20:06,,North West Point Immigration Facility,Service Provider Staff
1-7OL2OG,Accident/Injury - Serious,Critical,24/06/11 20:10,,Curtin IDC,Service Provider Staff
1-7OL2VQ,Voluntary starvation (<24 hrs),Minor,24/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7OMAZR,Birth of a child,Minor,24/06/11 21:25,,Darwin Airport Lodge,Service Provider Staff
1-7OL9DY,Voluntary starvation (<24 hrs),Minor,24/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7OL9CC,Voluntary starvation (<24 hrs),Minor,24/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7OL9AA,Voluntary starvation (<24 hrs),Minor,24/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7OKKEW,Emergency - medical - offsite,Major,24/06/11 21:30,,Curtin IDC,Service Provider Staff
1-7OOYLV,Voluntary starvation (>24 hrs),Major,24/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7OL9UJ,Voluntary starvation (<24 hrs),Minor,24/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7OL9TJ,Voluntary starvation (<24 hrs),Minor,24/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7OL9S8,Voluntary starvation (<24 hrs),Minor,24/06/11 22:00,,Curtin IDC,Service Provider Staff
1-7OOZ7Q,Assault - Minor,Major,24/06/11 22:20,,North West Point Immigration Facility,Service Provider Staff
1-7OL9O4,Use of Force,Major,24/06/11 22:20,,North West Point Immigration Facility,Service Provider Staff
1-7OMB31,Transfer btwn facilities,Minor,24/06/11 22:50,,Darwin Airport Lodge,Service Provider Staff
1-7OR0CZ,Voluntary starvation (>24 hrs),Major,24/06/11 23:00,,Curtin IDC,Service Provider Staff
1-7OR0AL,Voluntary starvation (>24 hrs),Major,24/06/11 23:00,,Curtin IDC,Service Provider Staff
1-7OR073,Voluntary starvation (>24 hrs),Major,24/06/11 23:00,,Curtin IDC,Service Provider Staff
1-7OMB6P,Disturbance - Minor,Minor,24/06/11 23:00,,Northern IDC,Service Provider Staff
1-7OOZ8O,Voluntary starvation (>24 hrs),Major,24/06/11 23:00,,Curtin IDC,Service Provider Staff
1-7OL9Q6,Self Harm - Threatened,Major,24/06/11 23:00,,North West Point Immigration Facility,Service Provider Staff
1-7OT8HN,Damage - Minor,Minor,24/06/11 23:20,,Curtin IDC,Service Provider Staff
1-7OOYY4,Emergency - medical - offsite,Major,24/06/11 23:28,,North West Point Immigration Facility,Service Provider Staff
1-7OL9QF,Escape,Critical,25/06/11 0:20,,Melbourne ITA,Service Provider Staff
1-7OR0GA,Removal - Aborted,Major,25/06/11 2:20,,Darwin Airport Lodge,Service Provider Staff
1-7OSLYM,Damage - Minor,Minor,25/06/11 4:20,,Perth IDC,Client
1-7OSLTT,Emergency - medical - offsite,Major,25/06/11 4:50,,Darwin Airport Lodge,Service Provider Staff
1-7OSQK4,Emergency - medical - offsite,Major,25/06/11 6:25,,Leonora APOD,Service Provider Staff
1-7OTOEQ,Self Harm - Threatened,Major,25/06/11 10:40,,North West Point Immigration Facility,Service Provider Staff
1-7PG4G8,Voluntary starvation (>24 hrs),Major,25/06/11 12:40,,Lilac Aqua,Service Provider Staff
1-7OWAMM,Self Harm - Threatened,Major,25/06/11 15:10,,North West Point Immigration Facility,Service Provider Staff
1-7OVRVW,Theft,Minor,25/06/11 16:00,,Villawood IDC,Other
1-7OWB0A,Accident/Injury - Serious,Critical,25/06/11 17:30,,Curtin IDC,Service Provider Staff
1-7OWAKG,Escape,Critical,25/06/11 17:55,,Sydney IRH,Service Provider Staff
1-7OWLJ4,Voluntary  Starvation - End of,Minor,25/06/11 18:45,,Northern IDC,Service Provider Staff
1-7OWRBS,Voluntary starvation (<24 hrs),Minor,25/06/11 19:00,,Darwin Airport Lodge,Service Provider Staff
1-7OWLE6,Escape - Attempted,Major,25/06/11 19:25,,Melbourne ITA,Service Provider Staff
1-7OWLN2,Use of Force,Major,25/06/11 19:35,,North West Point Immigration Facility,Service Provider Staff
1-7OWLLF,Self Harm - Actual,Critical,25/06/11 19:35,,North West Point Immigration Facility,Service Provider Staff
1-7OX2E2,Voluntary starvation (<24 hrs),Minor,25/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7OX2C8,Voluntary starvation (<24 hrs),Minor,25/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7OWKFX,Voluntary starvation (<24 hrs),Minor,25/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7OWKF8,Voluntary starvation (<24 hrs),Minor,25/06/11 21:00,,Curtin IDC,Service Provider Staff
1-7OX2WQ,Self Harm - Threatened,Major,25/06/11 22:00,,North West Point Immigration Facility,Service Provider Staff
1-7OWKHF,Abusive/Aggressive Behaviour,Minor,25/06/11 22:15,,Northern IDC,Service Provider Staff
1-7OXUJQ,Self Harm - Actual,Critical,26/06/11 0:25,,North West Point Immigration Facility,Service Provider Staff
1-7P3F5Q,Self Harm - Actual,Critical,26/06/11 2:18,,North West Point Immigration Facility,Service Provider Staff
